rho,N,D_cm,D_cm_sem,fit_scaled_min,fit_scaled_max
1.000000000000000000e+00,2.000000000000000000e+01,2.229894324541416978e-02,1.435113253152320301e-03,1.000000000000000056e-01,1.000000000000000000e+01
1.000000000000000000e+00,4.000000000000000000e+01,1.029023423652460772e-02,6.082420494446358263e-04,1.000000000000000056e-01,1.000000000000000000e+01
1.000000000000000000e+00,6.000000000000000000e+01,6.539986356890659623e-03,2.997666580015549654e-04,1.000000000000000056e-01,1.000000000000000000e+01
1.000000000000000000e+00,8.000000000000000000e+01,5.290154178394245593e-03,3.197613514355709691e-04,1.000000000000000056e-01,1.000000000000000000e+01
1.000000000000000000e+00,1.000000000000000000e+02,4.052462710599821771e-03,2.690051055934621462e-04,1.000000000000000056e-01,1.000000000000000000e+01
2.000000000000000000e+00,2.000000000000000000e+01,1.830481460254931858e-02,1.024058242450372929e-03,1.000000000000000056e-01,1.000000000000000000e+01
2.000000000000000000e+00,4.000000000000000000e+01,9.016422779123036552e-03,4.977657024594319335e-04,1.000000000000000056e-01,1.000000000000000000e+01
2.000000000000000000e+00,6.000000000000000000e+01,5.955599038376743412e-03,3.464642795822541529e-04,1.000000000000000056e-01,1.000000000000000000e+01
2.000000000000000000e+00,8.000000000000000000e+01,4.543606680981863294e-03,2.590322673674080758e-04,1.000000000000000056e-01,1.000000000000000000e+01
2.000000000000000000e+00,1.000000000000000000e+02,3.519401826604055730e-03,1.878006902918570250e-04,1.000000000000000056e-01,1.000000000000000000e+01
4.000000000000000000e+00,2.000000000000000000e+01,1.329816600532550235e-02,7.295314346659163840e-04,1.000000000000000056e-01,1.000000000000000000e+01
4.000000000000000000e+00,4.000000000000000000e+01,6.125086436396447696e-03,3.398496623907485120e-04,1.000000000000000056e-01,1.000000000000000000e+01
4.000000000000000000e+00,6.000000000000000000e+01,4.313849370755545864e-03,2.459632754642891586e-04,1.000000000000000056e-01,1.000000000000000000e+01
4.000000000000000000e+00,8.000000000000000000e+01,3.478707639327150401e-03,1.983160527278279395e-04,1.000000000000000056e-01,1.000000000000000000e+01
4.000000000000000000e+00,1.000000000000000000e+02,2.422207358601821854e-03,1.416755568539606626e-04,1.000000000000000056e-01,1.000000000000000000e+01
