rho,t_sweep,t_scaled,A_COM_MSD_mean,A_COM_MSD_sem,B_COM_MSD_mean,B_COM_MSD_sem,Full_COM_MSD_mean,Full_COM_MSD_sem
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000048e-04,3.303931324005125736e-02,8.139003350687861902e-06,3.303843744659423765e-02,7.413439227744198202e-06,1.661309051856994096e-02,3.914322592289933184e-06
1.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000096e-04,6.562012172548656319e-02,1.808881944154456430e-05,6.559754025767502994e-02,1.843609896089096602e-05,3.309292883820985631e-02,9.501554029617042123e-06
1.000000000000000000e+00,3.000000000000000000e+00,2.999999999999999737e-04,9.801486701810072089e-02,3.208239943620932360e-05,9.799041421581816680e-02,3.392724440341158729e-05,4.954637612133870606e-02,1.751195939104255406e-05
1.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000192e-04,1.302863623326206699e-01,5.006890491806213029e-05,1.302658347931096861e-01,5.271979559878952785e-05,6.598936256268270184e-02,2.654147927413188208e-05
1.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000104e-04,1.624726440543216577e-01,7.112729577115196704e-05,1.624552228314921354e-01,7.470041555384177088e-05,8.243563486687213726e-02,3.722091715367410562e-05
1.000000000000000000e+00,6.000000000000000000e+00,5.999999999999999474e-04,1.945825709100216239e-01,9.382684066931934680e-05,1.945516417840560952e-01,9.833189358368491558e-05,9.887615611525235604e-02,4.926591306989170488e-05
1.000000000000000000e+00,7.000000000000000000e+00,6.999999999999999929e-04,2.266343508600546786e-01,1.189583639944464090e-04,2.265777877667537743e-01,1.236997666798809678e-04,1.153111987070702393e-01,6.135271991780122684e-05
1.000000000000000000e+00,8.000000000000000000e+00,8.000000000000000383e-04,2.586357132130208680e-01,1.436038705316426624e-04,2.585392916043931510e-01,1.507527547844653528e-04,1.317523116387534776e-01,7.452831081285742770e-05
1.000000000000000000e+00,9.000000000000000000e+00,8.999999999999999754e-04,2.905786481897965623e-01,1.690173960065817862e-04,2.904393262583529478e-01,1.805820311804310805e-04,1.481941644311585426e-01,8.811174023115307696e-05
1.000000000000000000e+00,1.000000000000000000e+01,1.000000000000000021e-03,3.224719390608966063e-01,1.968750910930499340e-04,3.222775382798567789e-01,2.106590946162376456e-04,1.646303030333599315e-01,1.027626174101629154e-04
1.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000066e-03,3.543050380027548130e-01,2.249303658889125412e-04,3.540534365097162128e-01,2.425421514572746425e-04,1.810585494145159902e-01,1.175806359802938959e-04
1.000000000000000000e+00,1.200000000000000000e+01,1.199999999999999895e-03,3.860856289879298076e-01,2.535940375117327590e-04,3.857693828834565797e-01,2.744385108002630937e-04,1.974810622308989239e-01,1.326604506500932991e-04
1.000000000000000000e+00,1.300000000000000000e+01,1.299999999999999940e-03,4.178109315415584057e-01,2.830055676809028467e-04,4.174067780927511739e-01,3.075577521296044979e-04,2.138973547786340024e-01,1.485995528871687918e-04
1.000000000000000000e+00,1.400000000000000000e+01,1.399999999999999986e-03,4.494923923572181068e-01,3.155430208171415736e-04,4.490046354138352847e-01,3.412133926932592993e-04,2.303156302682409784e-01,1.652863247039969828e-04
1.000000000000000000e+00,1.500000000000000000e+01,1.500000000000000031e-03,4.811341998686153865e-01,3.487231160568523896e-04,4.805472242649422299e-01,3.760027842437723626e-04,2.467316256071794556e-01,1.830497224505532811e-04
1.000000000000000000e+00,1.600000000000000000e+01,1.600000000000000077e-03,5.127361403541881302e-01,3.820664163160319114e-04,5.120493028477990372e-01,4.130218720702594454e-04,2.631491368948007392e-01,2.008279174888859926e-04
1.000000000000000000e+00,1.700000000000000000e+01,1.699999999999999905e-03,5.443008355272607179e-01,4.168749022627193110e-04,5.435062909700437705e-01,4.509728135202943741e-04,2.795646560946524750e-01,2.187415689533000801e-04
1.000000000000000000e+00,1.800000000000000000e+01,1.799999999999999951e-03,5.758246002217867199e-01,4.521940768548072956e-04,5.749318113792601936e-01,4.897848010588148199e-04,2.959836488258331677e-01,2.366597681970429633e-04
1.000000000000000000e+00,1.900000000000000000e+01,1.899999999999999996e-03,6.073105564055059080e-01,4.898086947842457579e-04,6.063081590711391078e-01,5.288429498537467258e-04,3.124028530209169152e-01,2.550274649216108767e-04
1.000000000000000000e+00,2.000000000000000000e+01,2.000000000000000042e-03,6.387467564888942295e-01,5.272693049136144543e-04,6.376433063867810169e-01,5.683595802495921331e-04,3.288157249274923366e-01,2.738729119778686395e-04
1.000000000000000000e+00,2.100000000000000000e+01,2.099999999999999870e-03,6.701612575068237598e-01,5.630524324074291740e-04,6.689247816325974982e-01,6.091064680183459670e-04,3.452225272858400751e-01,2.927659420614423707e-04
1.000000000000000000e+00,2.200000000000000000e+01,2.200000000000000133e-03,7.015327103070646553e-01,5.979665958409371507e-04,7.001733644671545020e-01,6.503561095664749710e-04,3.616286354072000830e-01,3.111752532525614064e-04
1.000000000000000000e+00,2.300000000000000000e+01,2.299999999999999961e-03,7.328654851389729830e-01,6.331564033401381516e-04,7.313931252622115631e-01,6.927439347011646710e-04,3.780371815959264192e-01,3.299688586653168917e-04
